lemma,form,paradigm_slot,phonemic_form
rītan,riti,"V;SBJV;SG;3;PST",r i t i
rītan,rītem,"V;SBJV;PL;1;PRS",r iː t e m
rītan,rītemes,"V;SBJV;PL;1;PRS",r iː t e m e s
rītan,ritim,"V;SBJV;PL;1;PST",r i t i m
rītan,ritimes,"V;SBJV;PL;1;PST",r i t i m e s
rītan,rītet,"V;SBJV;PL;2;PRS",r iː t e t
rītan,ritit,"V;SBJV;PL;2;PST",r i t i t
rītan,rīten,"V;SBJV;PL;3;PRS",r iː t e n
rītan,ritin,"V;SBJV;PL;3;PST",r i t i n
rītan,rīt,"V;IMP;SG;PRS",r iː t
rītan,rītet,"V;IMP;PL;PRS",r iː t e t
kweman,kweman,"V;NFIN",kʷ e m a n
kweman,kwimu,"V;IND;SG;1;PRS",kʷ i m u
kweman,kwam,"V;IND;SG;1;PST",kʷ a m
kweman,kwimis,"V;IND;SG;2;PRS",kʷ i m i s
kweman,kwāmi,"V;IND;SG;2;PST",kʷ aː m i
kweman,kwimit,"V;IND;SG;3;PRS",kʷ i m i t
kweman,kwam,"V;IND;SG;3;PST",kʷ a m
kweman,kwemem,"V;IND;PL;1;PRS",kʷ e m e m
kweman,kwememes,"V;IND;PL;1;PRS",kʷ e m e m e s
kweman,kwāmum,"V;IND;PL;1;PST",kʷ aː m u m
kweman,kwāmumes,"V;IND;PL;1;PST",kʷ aː m u m e s
kweman,kwemet,"V;IND;PL;2;PRS",kʷ e m e t
kweman,kwāmut,"V;IND;PL;2;PST",kʷ aː m u t
kweman,kwemant,"V;IND;PL;3;PRS",kʷ e m a n t
kweman,kwāmun,"V;IND;PL;3;PST",kʷ aː m u n
kweman,kweme,"V;SBJV;SG;1;PRS",kʷ e m e
kweman,kwāmi,"V;SBJV;SG;1;PST",kʷ aː m i
kweman,kwemes,"V;SBJV;SG;2;PRS",kʷ e m e s
kweman,kwāmis,"V;SBJV;SG;2;PST",kʷ aː m i s
kweman,kweme,"V;SBJV;SG;3;PRS",kʷ e m e
kweman,kwāmi,"V;SBJV;SG;3;PST",kʷ aː m i
kweman,kwemem,"V;SBJV;PL;1;PRS",kʷ e m e m
kweman,kwememes,"V;SBJV;PL;1;PRS",kʷ e m e m e s
kweman,kwāmim,"V;SBJV;PL;1;PST",kʷ aː m i m
kweman,kwāmimes,"V;SBJV;PL;1;PST",kʷ aː m i m e s
kweman,kwemet,"V;SBJV;PL;2;PRS",kʷ e m e t
kweman,kwāmit,"V;SBJV;PL;2;PST",kʷ aː m i t
kweman,kwemen,"V;SBJV;PL;3;PRS",kʷ e m e n
kweman,kwāmin,"V;SBJV;PL;3;PST",kʷ aː m i n
kweman,kwim,"V;IMP;SG;PRS",kʷ i m
kweman,kwemet,"V;IMP;PL;PRS",kʷ e m e t
sahhan,sahhan,"V;NFIN",s̠ a x h a n
sahhan,sahhu,"V;IND;SG;1;PRS",s̠ a x h u
sahhan,suohh,"V;IND;SG;1;PST",s u o x x
sahhan,sahhis,"V;IND;SG;2;PRS",s̠ a x x i s
sahhan,suohhi,"V;IND;SG;2;PST",s u o x h i
sahhan,sahhit,"V;IND;SG;3;PRS",s̠ a x x i t
sahhan,suohh,"V;IND;SG;3;PST",s u o x x
sahhan,sahhem,"V;IND;PL;1;PRS",s̠ a x h e m
sahhan,sahhemes,"V;IND;PL;1;PRS",s̠ a x h e m e s
sahhan,suohhum,"V;IND;PL;1;PST",s u o̯ x h u m
sahhan,suohhumes,"V;IND;PL;1;PST",s u o̯ x h u m e s
sahhan,sahhet,"V;IND;PL;2;PRS",s̠ a x h e t
sahhan,suohhut,"V;IND;PL;2;PST",s u o̯ x h u t
sahhan,sahhant,"V;IND;PL;3;PRS",s̠ a x h a n t
sahhan,suohhun,"V;IND;PL;3;PST",s u o̯ x h u n
sahhan,sahhe,"V;SBJV;SG;1;PRS",s̠ a x h e
sahhan,suohhi,"V;SBJV;SG;1;PST",s u o x h i
sahhan,sahhes,"V;SBJV;SG;2;PRS",s̠ a x h e s
sahhan,suohhis,"V;SBJV;SG;2;PST",s u o x x i s
sahhan,sahhe,"V;SBJV;SG;3;PRS",s̠ a x h e
sahhan,suohhi,"V;SBJV;SG;3;PST",s u o x h i
sahhan,sahhem,"V;SBJV;PL;1;PRS",s̠ a x h e m
sahhan,sahhemes,"V;SBJV;PL;1;PRS",s̠ a x h e m e s
sahhan,suohhim,"V;SBJV;PL;1;PST",s u o x h i m
sahhan,suohhimes,"V;SBJV;PL;1;PST",s u o̯ x x i m e s
sahhan,sahhet,"V;SBJV;PL;2;PRS",s̠ a x h e t
sahhan,suohhit,"V;SBJV;PL;2;PST",s u o x x i t
sahhan,sahhen,"V;SBJV;PL;3;PRS",s̠ a x h e n
sahhan,suohhin,"V;SBJV;PL;3;PST",s u o x x i n
sahhan,sahh,"V;IMP;SG;PRS",s̠ a x
sahhan,sahhet,"V;IMP;PL;PRS",s̠ a x h e t
zellen,zellen,"V;NFIN",t͡s e l l e n
zellen,zellu,"V;IND;SG;1;PRS",t͡s e l l u
zellen,zalta,"V;IND;SG;1;PST",t͡s a l t a
zellen,zelis,"V;IND;SG;2;PRS",t͡s e l i s
zellen,zaltos,"V;IND;SG;2;PST",t͡s a l t o s
zellen,zelit,"V;IND;SG;3;PRS",t͡s e l i t
zellen,zalta,"V;IND;SG;3;PST",t͡s a l t a
zellen,zellem,"V;IND;PL;1;PRS",t͡s e l l e m
zellen,zellemes,"V;IND;PL;1;PRS",t͡s e l l e m e s
zellen,zaltum,"V;IND;PL;1;PST",t͡s a l t u m
zellen,zaltumes,"V;IND;PL;1;PST",t͡s a l t u m e s
zellen,zellet,"V;IND;PL;2;PRS",t͡s e l l e t
zellen,zaltut,"V;IND;PL;2;PST",t͡s a l t uː t
zellen,zellent,"V;IND;PL;3;PRS",t͡s e l l e n t
zellen,zaltun,"V;IND;PL;3;PST",t͡s a l t u n
zellen,zelle,"V;SBJV;SG;1;PRS",t͡s e l l e
zellen,zalti,"V;SBJV;SG;1;PST",t͡s a l t i
zellen,zelles,"V;SBJV;SG;2;PRS",t͡s e l l e s
zellen,zaltis,"V;SBJV;SG;2;PST",t͡s a l t i s
zellen,zelle,"V;SBJV;SG;3;PRS",t͡s e l l e
zellen,zalti,"V;SBJV;SG;3;PST",t͡s a l t i
zellen,zellem,"V;SBJV;PL;1;PRS",t͡s e l l e m
zellen,zellemes,"V;SBJV;PL;1;PRS",t͡s e l l e m e s
zellen,zaltim,"V;SBJV;PL;1;PST",t͡s a l t i m
zellen,zaltimes,"V;SBJV;PL;1;PST",t͡s a l t iː m e s
zellen,zellet,"V;SBJV;PL;2;PRS",t͡s e l l e t
zellen,zaltit,"V;SBJV;PL;2;PST",t͡s a l t i t
zellen,zellen,"V;SBJV;PL;3;PRS",t͡s e l l e n
zellen,zaltin,"V;SBJV;PL;3;PST",t͡s a l t i n
zellen,zeli,"V;IMP;SG;PRS",t͡s e l i
zellen,zellet,"V;IMP;PL;PRS",t͡s e l l e t
riohhan,riohhan,"V;NFIN",r i o x h a n
riohhan,riuhhu,"V;IND;SG;1;PRS",r i u̯ x h u
riohhan,rouh,"V;IND;SG;1;PST",r o u x
riohhan,riuhhis,"V;IND;SG;2;PRS",r i u̯ x x i s
riohhan,ruhhi,"V;IND;SG;2;PST",r u x x i
riohhan,riuhhit,"V;IND;SG;3;PRS",r i u̯ x h i t
riohhan,rouh,"V;IND;SG;3;PST",r o u x
riohhan,riohhem,"V;IND;PL;1;PRS",r i o x h e m
riohhan,riohhemes,"V;IND;PL;1;PRS",r i o x h e m e s
riohhan,ruhhum,"V;IND;PL;1;PST",r u x h u m
riohhan,ruhhumes,"V;IND;PL;1;PST",r u x h u m e s
riohhan,riohhet,"V;IND;PL;2;PRS",r i o x h e t
riohhan,ruhhut,"V;IND;PL;2;PST",r u x h u t
riohhan,riohhant,"V;IND;PL;3;PRS",r i o x h a n t
riohhan,ruhhun,"V;IND;PL;3;PST",r u x h u n
riohhan,riohhe,"V;SBJV;SG;1;PRS",r i o x h e
riohhan,ruhhi,"V;SBJV;SG;1;PST",r u x x i
riohhan,riohhes,"V;SBJV;SG;2;PRS",r i o x h e s
riohhan,ruhhis,"V;SBJV;SG;2;PST",r u x x i s
riohhan,riohhe,"V;SBJV;SG;3;PRS",r i o x h e
riohhan,ruhhi,"V;SBJV;SG;3;PST",r u x x i
riohhan,riohhem,"V;SBJV;PL;1;PRS",r i o x h e m
riohhan,riohhemes,"V;SBJV;PL;1;PRS",r i o x h e m e s
riohhan,ruhhim,"V;SBJV;PL;1;PST",r u x x i m
riohhan,ruhhimes,"V;SBJV;PL;1;PST",r u x x i m e s
riohhan,riohhet,"V;SBJV;PL;2;PRS",r i o x h e t
riohhan,ruhhit,"V;SBJV;PL;2;PST",r u x h i t
riohhan,riohhen,"V;SBJV;PL;3;PRS",r i o x h e n
riohhan,ruhhin,"V;SBJV;PL;3;PST",r u x x i n
riohhan,riuh,"V;IMP;SG;PRS",r i u x
riohhan,riohhet,"V;IMP;PL;PRS",r i o x h e t
stantan,stantan,"V;NFIN",s t a n t a n
stantan,stantu,"V;IND;SG;1;PRS",s̠ t a n t u
stantan,stuont,"V;IND;SG;1;PST",s t u o̯ n t
stantan,stantis,"V;IND;SG;2;PRS",s̠ t a n t i s
stantan,stuonti,"V;IND;SG;2;PST",s t u o̯ n t i
stantan,stantit,"V;IND;SG;3;PRS",s t a n t i t
stantan,stuont,"V;IND;SG;3;PST",s t u o̯ n t
stantan,stantem,"V;IND;PL;1;PRS",s t a n t e m
stantan,stantemes,"V;IND;PL;1;PRS",s̠ t a n t e m e s
stantan,stuontum,"V;IND;PL;1;PST",s t u o̯ n t u m
stantan,stuontumes,"V;IND;PL;1;PST",s t u o̯ n t u m e s
stantan,stantet,"V;IND;PL;2;PRS",s t a n t e t
stantan,stuontut,"V;IND;PL;2;PST",s t u o̯ n t uː t
stantan,stantant,"V;IND;PL;3;PRS",s t a n t a n t
stantan,stuontun,"V;IND;PL;3;PST",s t u o̯ n t u n
stantan,stante,"V;SBJV;SG;1;PRS",s̠ t a n t e
stantan,stuonti,"V;SBJV;SG;1;PST",s t u o̯ n t i
stantan,stantes,"V;SBJV;SG;2;PRS",s̠ t a n t e s
stantan,stuontis,"V;SBJV;SG;2;PST",s t u o̯ n t i s
stantan,stante,"V;SBJV;SG;3;PRS",s̠ t a n t e
stantan,stuonti,"V;SBJV;SG;3;PST",s t u o̯ n t i
stantan,stantem,"V;SBJV;PL;1;PRS",s t a n t e m
stantan,stantemes,"V;SBJV;PL;1;PRS",s̠ t a n t e m e s
stantan,stuontim,"V;SBJV;PL;1;PST",s t u o̯ n t i m
stantan,stuontimes,"V;SBJV;PL;1;PST",s t u o̯ n t iː m e s
stantan,stantet,"V;SBJV;PL;2;PRS",s t a n t e t
stantan,stuontit,"V;SBJV;PL;2;PST",s t u o̯ n t i t
stantan,stanten,"V;SBJV;PL;3;PRS",s t a n t e n
stantan,stuontin,"V;SBJV;PL;3;PST",s t u o̯ n t i n
stantan,stant,"V;IMP;SG;PRS",s t a n t
stantan,stantet,"V;IMP;PL;PRS",s t a n t e t
dankōn,dankōn,"V;NFIN",d a n k oː n
dankōn,dankom,"V;IND;SG;1;PRS",d a n k o m
dankōn,dankota,"V;IND;SG;1;PST",d a n k o t a
dankōn,dankos,"V;IND;SG;2;PRS",d a n k o s
dankōn,dankotos,"V;IND;SG;2;PST",d a n k o t o s
dankōn,dankot,"V;IND;SG;3;PRS",d a n k o t
dankōn,dankota,"V;IND;SG;3;PST",d a n k o t a
dankōn,dankom,"V;IND;PL;1;PRS",d a n k o m
dankōn,dankomes,"V;IND;PL;1;PRS",d a n k o m e s
dankōn,dankotum,"V;IND;PL;1;PST",d a n k o t u m
dankōn,dankotumes,"V;IND;PL;1;PST",d a n k o t u m e s
dankōn,dankot,"V;IND;PL;2;PRS",d a n k o t
dankōn,dankotut,"V;IND;PL;2;PST",d a n k o t uː t
dankōn,dankont,"V;IND;PL;3;PRS",d a n k o n t
dankōn,dankotun,"V;IND;PL;3;PST",d a n k o t u n
dankōn,danko,"V;SBJV;SG;1;PRS",d a n k o
dankōn,dankoti,"V;SBJV;SG;1;PST",d a n k o t i
dankōn,dankos,"V;SBJV;SG;2;PRS",d a n k o s
dankōn,dankotis,"V;SBJV;SG;2;PST",d a n k o t i s
dankōn,danko,"V;SBJV;SG;3;PRS",d a n k o
dankōn,dankoti,"V;SBJV;SG;3;PST",d a n k o t i
dankōn,dankom,"V;SBJV;PL;1;PRS",d a n k o m
dankōn,dankomes,"V;SBJV;PL;1;PRS",d a n k o m e s
dankōn,dankotim,"V;SBJV;PL;1;PST",d a n k o t i m
dankōn,dankotimes,"V;SBJV;PL;1;PST",d a n k o t i m e s
dankōn,dankot,"V;SBJV;PL;2;PRS",d a n k o t
dankōn,dankotit,"V;SBJV;PL;2;PST",d a n k o t i t
dankōn,dankon,"V;SBJV;PL;3;PRS",d a n k o n
dankōn,dankotin,"V;SBJV;PL;3;PST",d a n k o t i n
dankōn,danko,"V;IMP;SG;PRS",d a n k o
dankōn,dankot,"V;IMP;PL;PRS",d a n k o t
suohhen,suohhen,"V;NFIN",s u o̯ x h e n
suohhen,suohhu,"V;IND;SG;1;PRS",s u o̯ x h u
suohhen,suohta,"V;IND;SG;1;PST",s u o̯ x t a
suohhen,suohhis,"V;IND;SG;2;PRS",s u o x x i s
suohhen,suohtos,"V;IND;SG;2;PST",s u o̯ x t o s
suohhen,suohhit,"V;IND;SG;3;PRS",s u o x x i t
suohhen,suohta,"V;IND;SG;3;PST",s u o̯ x t a
suohhen,suohhem,"V;IND;PL;1;PRS",s u o x h e m
suohhen,suohhemes,"V;IND;PL;1;PRS",s u o̯ x h e m e s
suohhen,suohtum,"V;IND;PL;1;PST",s u o̯ x t u m
suohhen,suohtumes,"V;IND;PL;1;PST",s u o̯ x t u m e s
suohhen,suohhet,"V;IND;PL;2;PRS",s u o x h e t
suohhen,suohtut,"V;IND;PL;2;PST",s u o̯ x t u t
suohhen,suohhent,"V;IND;PL;3;PRS",s u o x h e n t
suohhen,suohtun,"V;IND;PL;3;PST",s u o̯ x t u n
suohhen,suohhe,"V;SBJV;SG;1;PRS",s u o x h e
suohhen,suohti,"V;SBJV;SG;1;PST",s u o̯ x t i
suohhen,suohhes,"V;SBJV;SG;2;PRS",s u o̯ x h e s
suohhen,suohtis,"V;SBJV;SG;2;PST",s u o̯ x t i s
suohhen,suohhe,"V;SBJV;SG;3;PRS",s u o x h e
suohhen,suohti,"V;SBJV;SG;3;PST",s u o̯ x t i
suohhen,suohhem,"V;SBJV;PL;1;PRS",s u o x h e m
suohhen,suohhemes,"V;SBJV;PL;1;PRS",s u o̯ x h e m e s
suohhen,suohtim,"V;SBJV;PL;1;PST",s u o̯ x t i m
suohhen,suohtimes,"V;SBJV;PL;1;PST",s u o̯ x t i m e s
suohhen,suohhet,"V;SBJV;PL;2;PRS",s u o x h e t
suohhen,suohtit,"V;SBJV;PL;2;PST",s u o̯ x t i t
suohhen,suohhen,"V;SBJV;PL;3;PRS",s u o̯ x h e n
suohhen,suohtin,"V;SBJV;PL;3;PST",s u o̯ x t i n
suohhen,suohhi,"V;IMP;SG;PRS",s u o x h i
suohhen,suohhet,"V;IMP;PL;PRS",s u o x h e t
bringan,bringan,"V;NFIN",b r i ŋ ɡ a n
bringan,bringu,"V;IND;SG;1;PRS",b r i n ɡ u
bringan,"brang, brāhta","V;IND;SG;1;PST",b r a n ɡ
bringan,bringis,"V;IND;SG;2;PRS",b r i n ɡ i s
bringan,brungi,"V;IND;SG;2;PST",b r u ŋ ɡ i
bringan,bringit,"V;IND;SG;3;PRS",b r i n ɡ i t
bringan,"brang, brāhta","V;IND;SG;3;PST",b r a n ɡ
bringan,bringem,"V;IND;PL;1;PRS",b r i n ɡ e m
bringan,bringemes,"V;IND;PL;1;PRS",b r i n ɡ e m e s
bringan,brungum,"V;IND;PL;1;PST",b r u ŋ ɡ u m
bringan,brungumes,"V;IND;PL;1;PST",b r u ŋ ɡ u m e s
bringan,bringet,"V;IND;PL;2;PRS",b r i n ɡ e t
bringan,brungut,"V;IND;PL;2;PST",b r u ŋ u t
bringan,bringant,"V;IND;PL;3;PRS",b r i n ɡ a n t
bringan,brungun,"V;IND;PL;3;PST",b r u ŋ ɡ u n
bringan,bringe,"V;SBJV;SG;1;PRS",b r i n ɡ e
bringan,brungi,"V;SBJV;SG;1;PST",b r u ŋ ɡ i
bringan,bringes,"V;SBJV;SG;2;PRS",b r i n ɡ e s
bringan,brungis,"V;SBJV;SG;2;PST",b r u ŋ ɡ i s
bringan,bringe,"V;SBJV;SG;3;PRS",b r i n ɡ e
bringan,brungi,"V;SBJV;SG;3;PST",b r u ŋ ɡ i
bringan,bringem,"V;SBJV;PL;1;PRS",b r i n ɡ e m
bringan,bringemes,"V;SBJV;PL;1;PRS",b r i n ɡ e m e s
bringan,brungim,"V;SBJV;PL;1;PST",b r u ŋ ɡ i m
bringan,brungimes,"V;SBJV;PL;1;PST",b r u n ɡ i m e s
bringan,bringet,"V;SBJV;PL;2;PRS",b r i n ɡ e t
bringan,brungit,"V;SBJV;PL;2;PST",b r u ŋ ɡ i t
bringan,bringen,"V;SBJV;PL;3;PRS",b r i n ɡ e n
bringan,brungin,"V;SBJV;PL;3;PST",b r u ŋ ɡ i n
bringan,bring,"V;IMP;SG;PRS",b r i ŋ
bringan,bringet,"V;IMP;PL;PRS",b r i n ɡ e t
briuwan,briuwan,"V;NFIN",b r i u̯ w a n
briuwan,briuwu,"V;IND;SG;1;PRS",b r i u̯ w u
briuwan,brouw,"V;IND;SG;1;PST",b r o u̯ w
briuwan,briuwis,"V;IND;SG;2;PRS",b r i u̯ w i s
briuwan,bruwi,"V;IND;SG;2;PST",b r uː w i
briuwan,briuwit,"V;IND;SG;3;PRS",b r i u̯ w i t
briuwan,brouw,"V;IND;SG;3;PST",b r o u̯ w
briuwan,briuwem,"V;IND;PL;1;PRS",b r i u̯ w e m
briuwan,briuwemes,"V;IND;PL;1;PRS",b r i u̯ w e m e s
briuwan,bruwum,"V;IND;PL;1;PST",b r uː w u m
briuwan,bruwumes,"V;IND;PL;1;PST",b r uː w u m e s
briuwan,briuwet,"V;IND;PL;2;PRS",b r i u̯ w e t
briuwan,bruwut,"V;IND;PL;2;PST",b r u w u t
briuwan,briuwant,"V;IND;PL;3;PRS",b r i u̯ w a n t
briuwan,bruwun,"V;IND;PL;3;PST",b r uː w u n
briuwan,briuwe,"V;SBJV;SG;1;PRS",b r i u̯ w e
briuwan,bruwi,"V;SBJV;SG;1;PST",b r uː w i
briuwan,briuwes,"V;SBJV;SG;2;PRS",b r i u̯ w e s
briuwan,bruwis,"V;SBJV;SG;2;PST",b r uː w i s
briuwan,briuwe,"V;SBJV;SG;3;PRS",b r i u̯ w e
briuwan,bruwi,"V;SBJV;SG;3;PST",b r uː w i
briuwan,briuwem,"V;SBJV;PL;1;PRS",b r i u̯ w e m
briuwan,briuwemes,"V;SBJV;PL;1;PRS",b r i u̯ w e m e s
briuwan,bruwim,"V;SBJV;PL;1;PST",b r u w i m
briuwan,bruwimes,"V;SBJV;PL;1;PST",b r uː w i m e s
briuwan,briuwet,"V;SBJV;PL;2;PRS",b r i u̯ w e t
briuwan,bruwit,"V;SBJV;PL;2;PST",b r u w i t
briuwan,briuwen,"V;SBJV;PL;3;PRS",b r i u̯ w e n
briuwan,bruwin,"V;SBJV;PL;3;PST",b r u w i n
briuwan,briuw,"V;IMP;SG;PRS",b r i u̯ w
briuwan,briuwet,"V;IMP;PL;PRS",b r i u̯ w e t
sterban,sterban,"V;NFIN",s t e r b a n
sterban,stirbu,"V;IND;SG;1;PRS",s̠ t i r b u
sterban,starb,"V;IND;SG;1;PST",s̠ t a r b
sterban,stirbis,"V;IND;SG;2;PRS",s t i r b i s
sterban,sturbi,"V;IND;SG;2;PST",s t u r b i
sterban,stirbit,"V;IND;SG;3;PRS",s t i r b i t
sterban,starb,"V;IND;SG;3;PST",s̠ t a r b
sterban,sterbem,"V;IND;PL;1;PRS",s t e r b e m
sterban,sterbemes,"V;IND;PL;1;PRS",s t e r b e m e s
sterban,sturbum,"V;IND;PL;1;PST",s t u r b u m
sterban,sturbumes,"V;IND;PL;1;PST",s t u r b u m e s
sterban,sterbet,"V;IND;PL;2;PRS",s t e r b e t
sterban,sturbut,"V;IND;PL;2;PST",s t u r b u t
sterban,sterbant,"V;IND;PL;3;PRS",s t e r b a n t
sterban,sturbun,"V;IND;PL;3;PST",s t u r b u n
sterban,sterbe,"V;SBJV;SG;1;PRS",s t e r b e
sterban,sturbi,"V;SBJV;SG;1;PST",s t u r b i
sterban,sterbes,"V;SBJV;SG;2;PRS",s t e r b e s
sterban,sturbis,"V;SBJV;SG;2;PST",s t u r b i s
sterban,sterbe,"V;SBJV;SG;3;PRS",s t e r b e
sterban,sturbi,"V;SBJV;SG;3;PST",s t u r b i
sterban,sterbem,"V;SBJV;PL;1;PRS",s t e r b e m
sterban,sterbemes,"V;SBJV;PL;1;PRS",s t e r b e m e s
sterban,sturbim,"V;SBJV;PL;1;PST",s t u r b i m
sterban,sturbimes,"V;SBJV;PL;1;PST",s t u r b i m e s
sterban,sterbet,"V;SBJV;PL;2;PRS",s t e r b e t
sterban,sturbit,"V;SBJV;PL;2;PST",s t u r b i t
sterban,sterben,"V;SBJV;PL;3;PRS",s t e r b e n
sterban,sturbin,"V;SBJV;PL;3;PST",s t u r b i n
sterban,stirb,"V;IMP;SG;PRS",s̠ t i r b
sterban,sterbet,"V;IMP;PL;PRS",s t e r b e t
hangēn,hangēn,"V;NFIN",h a n ɡ eː n
hangēn,hangem,"V;IND;SG;1;PRS",h a ŋ ɡ e m
hangēn,hangeta,"V;IND;SG;1;PST",h a n ɡ e t a
hangēn,hanges,"V;IND;SG;2;PRS",h a n ɡ e s
hangēn,hangetos,"V;IND;SG;2;PST",h a n ɡ e t o s
hangēn,hanget,"V;IND;SG;3;PRS",h a n ɡ e t
hangēn,hangeta,"V;IND;SG;3;PST",h a n ɡ e t a
hangēn,hangem,"V;IND;PL;1;PRS",h a ŋ ɡ e m
hangēn,hangemes,"V;IND;PL;1;PRS",h a n ɡ e m e s
hangēn,hangetum,"V;IND;PL;1;PST",h a n ɡ e t u m
hangēn,hangetumes,"V;IND;PL;1;PST",h a n ɡ e t u m e s
hangēn,hanget,"V;IND;PL;2;PRS",h a n ɡ e t
hangēn,hangetut,"V;IND;PL;2;PST",h a n ɡ e t u t
hangēn,hangent,"V;IND;PL;3;PRS",h a n ɡ e n t
hangēn,hangetun,"V;IND;PL;3;PST",h a n ɡ e t u n
hangēn,hange,"V;SBJV;SG;1;PRS",h a n ɡ e
hangēn,hangeti,"V;SBJV;SG;1;PST",h a n ɡ e t i
hangēn,hanges,"V;SBJV;SG;2;PRS",h a n ɡ e s
hangēn,hangetis,"V;SBJV;SG;2;PST",h a n ɡ e t i s
hangēn,hange,"V;SBJV;SG;3;PRS",h a n ɡ e
hangēn,hangeti,"V;SBJV;SG;3;PST",h a n ɡ e t i
hangēn,hangem,"V;SBJV;PL;1;PRS",h a ŋ ɡ e m
hangēn,hangemes,"V;SBJV;PL;1;PRS",h a n ɡ e m e s
hangēn,hangetim,"V;SBJV;PL;1;PST",h a n ɡ e t i m
hangēn,hangetimes,"V;SBJV;PL;1;PST",h a n ɡ e t iː m e s
hangēn,hanget,"V;SBJV;PL;2;PRS",h a n ɡ e t
hangēn,hangetit,"V;SBJV;PL;2;PST",h a n ɡ e t i t
hangēn,hangen,"V;SBJV;PL;3;PRS",h a ŋ ɡ e n
hangēn,hangetin,"V;SBJV;PL;3;PST",h a n ɡ e t i n
hangēn,hange,"V;IMP;SG;PRS",h a n ɡ e
hangēn,hanget,"V;IMP;PL;PRS",h a n ɡ e t
jetan,jetan,"V;NFIN",d͡ʒ e t a n
jetan,jitu,"V;IND;SG;1;PRS",d͡ʒ i t u
jetan,jat,"V;IND;SG;1;PST",d͡ʒ a t
jetan,jitis,"V;IND;SG;2;PRS",d͡ʒ i t i s
jetan,jāti,"V;IND;SG;2;PST",d͡ʒ aː t i
jetan,jitit,"V;IND;SG;3;PRS",d͡ʒ i t i t
jetan,jat,"V;IND;SG;3;PST",d͡ʒ a t
jetan,jetem,"V;IND;PL;1;PRS",d͡ʒ e t e m
jetan,jetemes,"V;IND;PL;1;PRS",d͡ʒ e t e m e s
jetan,jātum,"V;IND;PL;1;PST",d͡ʒ aː t u m
jetan,jātumes,"V;IND;PL;1;PST",j aː t u m e s
jetan,jetet,"V;IND;PL;2;PRS",d͡ʒ e t e t
jetan,jātut,"V;IND;PL;2;PST",j aː t u t
jetan,jetant,"V;IND;PL;3;PRS",d͡ʒ e t a n t
jetan,jātun,"V;IND;PL;3;PST",j aː t u n
jetan,jete,"V;SBJV;SG;1;PRS",d͡ʒ e t e
jetan,jāti,"V;SBJV;SG;1;PST",d͡ʒ aː t i
jetan,jetes,"V;SBJV;SG;2;PRS",d͡ʒ e t e s
jetan,jātis,"V;SBJV;SG;2;PST",d͡ʒ aː t i s
jetan,jete,"V;SBJV;SG;3;PRS",d͡ʒ e t e
jetan,jāti,"V;SBJV;SG;3;PST",d͡ʒ aː t i
jetan,jetem,"V;SBJV;PL;1;PRS",d͡ʒ e t e m
jetan,jetemes,"V;SBJV;PL;1;PRS",d͡ʒ e t e m e s
jetan,jātim,"V;SBJV;PL;1;PST",d͡ʒ aː t i m
jetan,jātimes,"V;SBJV;PL;1;PST",d͡ʒ aː t i m e s
jetan,jetet,"V;SBJV;PL;2;PRS",d͡ʒ e t e t
jetan,jātit,"V;SBJV;PL;2;PST",d͡ʒ aː t i t
jetan,jeten,"V;SBJV;PL;3;PRS",j e t e n
jetan,jātin,"V;SBJV;PL;3;PST",j aː t i n
jetan,jit,"V;IMP;SG;PRS",d͡ʒ i t
jetan,jetet,"V;IMP;PL;PRS",d͡ʒ e t e t
ruofan,ruofan,"V;NFIN",r u o̯ f a n
ruofan,ruofu,"V;IND;SG;1;PRS",r u o̯ f u
ruofan,riof,"V;IND;SG;1;PST",r i o f
ruofan,ruofis,"V;IND;SG;2;PRS",r u o̯ f i s
ruofan,riefi,"V;IND;SG;2;PST",r i e f i
ruofan,ruofit,"V;IND;SG;3;PRS",r u o̯ f i t
ruofan,riof,"V;IND;SG;3;PST",r i o f
ruofan,ruofem,"V;IND;PL;1;PRS",r u o̯ f e m
ruofan,ruofemes,"V;IND;PL;1;PRS",r u o̯ f e m e s
ruofan,riefum,"V;IND;PL;1;PST",r i e̯ f u m
ruofan,riefumes,"V;IND;PL;1;PST",r i e f u m e s
ruofan,ruofet,"V;IND;PL;2;PRS",r u o̯ f e t
ruofan,riefut,"V;IND;PL;2;PST",r iː e f u t
ruofan,ruofant,"V;IND;PL;3;PRS",r u o̯ f a n t
ruofan,riefun,"V;IND;PL;3;PST",r i e f u n
ruofan,ruofe,"V;SBJV;SG;1;PRS",r u o̯ f e
ruofan,riefi,"V;SBJV;SG;1;PST",r i e f i
ruofan,ruofes,"V;SBJV;SG;2;PRS",r u o̯ f e s
ruofan,riefis,"V;SBJV;SG;2;PST",r i e f i s
ruofan,ruofe,"V;SBJV;SG;3;PRS",r u o̯ f e
ruofan,riefi,"V;SBJV;SG;3;PST",r i e f i
ruofan,ruofem,"V;SBJV;PL;1;PRS",r u o̯ f e m
ruofan,ruofemes,"V;SBJV;PL;1;PRS",r u o̯ f e m e s
ruofan,riefim,"V;SBJV;PL;1;PST",r i e f i m
ruofan,riefimes,"V;SBJV;PL;1;PST",r i e f i m e s
ruofan,ruofet,"V;SBJV;PL;2;PRS",r u o̯ f e t
ruofan,riefit,"V;SBJV;PL;2;PST",r i e f i t
